,0
121,-25306.396910964184
122,-25302.08054170288
123,-25274.651434223237
124,-25223.558684643365
125,-25148.48769795721
126,-25049.35433930323
127,-24926.29614045061
128,-24779.660936143555
129,-24609.99339046865
130,-24418.019827379532
131,-24204.631598316202
132,-23970.867026873613
133,-23717.89196295678
134,-23446.979217171134
135,-23159.487381489336
136,-22856.839547588068
137,-22540.50231260585
138,-22211.965412211557
139,-21872.722367463157
140,-21524.252505894
141,-21168.004471328928
142,-20805.381051483026
143,-20437.725180466467
144,-20066.307283919257
145,-19692.31429353396
146,-19316.840504863212
147,-18940.880312729878
148,-18565.322878207364
149,-18190.948732183828
150,-17818.428165723995
151,-17448.321186270598
152,-17081.078904508955
153,-16717.046369641466
154,-16356.466867166253
155,-15999.487460735192
156,-15646.16542670565
157,-15296.475397638533
158,-14950.317193900317
159,-14607.524261921926
160,-14267.872523105834
161,-13931.089388095857
162,-13596.862695261325
163,-13264.84942313141
164,-12934.684182620322
165,-12605.987581171423
166,-12278.374440137006
167,-11951.461643103954
168,-11624.875380114463
169,-11298.257728637798
170,-10971.272617312618
171,-10643.611180662012
172,-10314.99642883979
173,-9985.187143476174
174,-9653.981011282476
175,-9321.217085351547
176,-8986.77762454607
177,-8650.589278764592
178,-8312.62353570737
179,-7972.896349605498
180,-7631.466935386458
181,-7288.435814657629
182,-6943.942303179038
183,-6598.161620910216
184,-6251.3016700626395
185,-5903.599462829383
186,-5555.317258727908
187,-5206.738514695818
188,-4858.163718139745
189,-4509.90617462487
190,-4162.287833280864
191,-3815.6352319357807
192,-3470.2756745668653
193,-3126.533734447337
194,-2784.7280830413292
195,-2445.16859629831
196,-2108.1536957188755
197,-1773.9678973230007
198,-1442.8795745418756
199,-1115.138958795459
200,-790.9763887871623
201,-470.6008140979256
202,-154.19859160775343
203,158.0673474724825
204,466.05792709165655
205,769.6579983100162
206,1068.7760734352782
207,1363.343683455881
208,1653.3143394611723
209,1938.6621104998896
210,2219.379854081422
211,2495.4771870263867
212,2766.9783197380616
213,3033.9198696457956
214,3296.348718869567
215,3554.3199037976947
216,3807.8945150404857
217,4057.137663192622
218,4302.116606559344
219,4542.899116786922
220,4779.552145523341
221,5012.140814139254
222,5240.727653871367
223,5465.371982757872
224,5686.129362060918
225,5903.051103381418
226,6116.183761073001
227,6325.568574588326
228,6531.240909941681
229,6733.229752498572
230,6931.557295755037
231,7126.2387402718505
232,7317.282398714864
233,7504.69005942809
234,7688.457490736418
235,7868.574987774836
236,8045.027867492847
237,8217.79684557452
238,8386.858323502527
239,8552.184665939998
240,8713.744512906025
241,8871.503180851416
242,9025.4232454337
243,9175.465312392062
244,9321.588856890497
245,9463.753028690839
246,9601.917419515985
247,9736.042793153047
248,9866.091702671227
249,9992.028925895678
250,10113.82176995974
251,10231.440389462985
252,10344.858245231704
253,10454.052744084413
254,10559.005972949171
255,10659.705315210284
256,10756.143760285067
257,10848.319904967686
258,10936.237777444021
259,11019.9065788803
260,11099.340364550533
261,11174.557697119275
262,11245.581344606026
263,11312.438035922303
264,11375.158167645503
265,11433.775411818315
266,11488.326388705518
267,11538.850543683558
268,11585.390059932253
269,11627.989554485872
270,11666.695589552954
271,11701.556228618849
272,11732.620748046955
273,11759.93944405639
274,11783.563463932707
275,11803.544647664405
276,11819.935373942577
277,11832.788392333885
278,11842.156624289504
279,11848.092903254996
280,11850.649612021987
281,11849.878206449912
282,11845.828699837295
283,11838.549234071848
284,11828.085801545889
285,11814.482110816809
286,11797.779582977739
287,11778.017459488357
288,11755.232989308852
289,11729.461667511296
290,11700.737513746682
291,11669.093375493685
292,11634.561190406073
293,11597.172126152953
294,11556.956604974514
295,11513.944315477947
296,11468.16429665513
297,11419.645084011345
298,11368.414830466269
299,11314.501280819524
300,11257.931550375313
301,11198.731843772575
302,11136.927326220297
303,11072.542232784177
304,11005.600169104484
305,10936.12451244655
306,10864.138810248902
307,10789.667100248025
308,10712.734167426699
309,10633.365840864368
310,10551.589380614561
311,10467.433854607236
312,10380.930391243965
313,10292.1122927638
314,10201.015009881807
315,10107.675975792818
316,10012.134377744374
317,9914.430981309137
318,9814.608014137608
319,9712.708978855952
320,9608.778309774953
321,9502.860975669175
322,9395.00218633567
323,9285.24724309917
324,9173.641492854982
325,9060.230360933545
326,8945.059432155489
327,8828.174485931017
328,8709.62136588973
329,8589.445632262501
330,8467.692050958698
331,8344.404070323246
332,8219.623487523644
333,8093.3904458129255
334,7965.743775185031
335,7836.721579373246
336,7706.361886695677
337,7574.703171785868
338,7441.784654336129
339,7307.646398835872
340,7172.329281979133
341,7035.874843255425
342,6898.324986920501
343,6759.72156142494
344,6620.105934976103
345,6479.518701013232
346,6337.999578175481
347,6195.587471558575
348,6052.320601739224
349,5908.236608450696
350,5763.372555052156
351,5617.764796042102
352,5471.448788031736
353,5324.459018218465
354,5176.829110377245
355,5028.592014837757
356,4879.78020503484
357,4730.425841475143
358,4580.560865684467
359,4430.217049902118
360,4279.426049356025
361,4128.219439858626
362,3976.628715969673
363,3824.685273379788
364,3672.420395158221
365,3519.865214425983
366,3367.0506268384224
367,3214.007177236191
368,3060.764949694751
369,2907.3534429105825
370,2753.80138589518
371,2600.136428714199
372,2446.384678157639
