72.281,-22.081,-18.261,-42.926,-37.048,-45.349,-45.712,-43.485,-37.65,-37.808,-39.964,-40.085,-42.003,-37.128,-45.527
71.426,-24.315,-20.104,-45.788,-37.86,-45.871,-46.642,-45.431,-38.041,-39.742,-41.318,-40.2,-42.509,-36.331,-42.929
69.907,-24.131,-20.14,-47.145,-37.896,-47.838,-48.028,-46.926,-37.772,-39.375,-42.551,-40.227,-43.248,-35.844,-41.576
67.868,-21.559,-18.199,-46.074,-36.451,-49.555,-48.664,-46.907,-36.189,-36.81,-42.512,-39.882,-43.484,-35.147,-41.361
66.621,-18.828,-16.001,-43.409,-33.966,-48.125,-47.397,-45.316,-34.005,-34.121,-40.562,-39.343,-42.957,-33.95,-41.707
67.575,-17.598,-15.134,-41.392,-32.005,-43.641,-45.32,-43.985,-33.272,-32.699,-38.219,-39.414,-42.932,-33.192,-42.689
70.477,-17.043,-14.757,-41.023,-31.083,-39.35,-44.317,-44.107,-34.457,-31.811,-37.563,-40.235,-44.124,-33.728,-44.118
73.725,-15.422,-12.651,-40.715,-29.743,-37.465,-44.108,-43.99,-34.977,-30.147,-38.328,-40.518,-44.771,-34.657,-44.607
76.955,-12.848,-8.7918,-38.69,-26.994,-36.566,-42.692,-41.388,-32.579,-28.001,-38.117,-39.054,-42.869,-34.303,-43.162
81.67,-10.776,-5.7429,-35.492,-24.151,-33.877,-39.403,-37.137,-28.857,-26.719,-35.405,-36.386,-39.405,-32.399,-40.955
87.69,-8.7935,-4.2815,-32.532,-22.351,-28.867,-35.53,-33.959,-26.8,-26.135,-30.854,-33.766,-36.891,-29.805,-39.68
90.889,-4.2872,-1.095,-29.431,-19.81,-23.536,-31.94,-32.19,-25.822,-24.059,-25.639,-30.957,-35.148,-26.427,-38.627
88.156,3.5278,6.5503,-25.101,-14.36,-19.747,-28.194,-29.592,-22.532,-19.122,-20.189,-26.701,-31.439,-21.357,-35.515
84.686,11.519,15.638,-20.575,-7.8629,-17.373,-24.367,-25.57,-16.384,-13.022,-15.084,-21.31,-25.134,-15.317,-30.256
91.974,16.832,20.635,-17.786,-4.4872,-14.982,-21.511,-22.302,-10.878,-8.632,-11.461,-16.877,-19.229,-10.897,-25.577
115.97,21.648,21.545,-15.563,-4.259,-11.597,-19.277,-20.492,-7.9889,-6.3469,-9.3715,-14.262,-15.906,-9.2871,-23.198
150.2,30.943,24.946,-10.056,-1.9492,-7.5172,-15.18,-17.134,-4.8944,-3.7238,-6.9878,-11.573,-13.279,-8.3849,-21.518
184.25,46.278,36.193,-0.07518,6.1295,-3.6612,-7.9188,-9.834,1.4864,1.3071,-2.7481,-6.8403,-8.6074,-5.5639,-18.303
216.85,64.874,53.983,10.99,17.423,-0.28657,0.23111,-0.94085,9.5787,8.2151,2.6216,-0.77661,-2.5528,-1.0399,-13.712
255.99,84.601,73.945,20.203,27.421,3.5633,6.3958,5.6919,15.903,15.11,7.5598,4.6929,2.4654,3.175,-8.964
306.72,106.25,94.057,29.165,35.718,9.1152,11.279,10.413,20.641,20.9,12.162,9.482,6.5787,6.5739,-3.7669
364.51,129.99,114.13,40.575,44.656,16.349,17.84,16.682,26.627,25.631,17.376,14.82,11.853,10.163,2.4933
421.95,153.17,133.08,53.083,54.187,23.719,26.339,24.969,33.825,29.884,22.304,20.233,17.967,13.599,8.0292
475.71,173.66,150.25,62.939,62.157,29.444,33.513,31.703,39.049,34.684,24.701,23.556,22.045,14.94,10.06
523.28,192.13,167.16,69.375,68.74,32.794,37.104,34.958,41.471,40.889,24.508,24.404,23.333,13.954,9.047
558.61,208.59,184.27,74.714,76.217,34.284,38.693,37.431,44.271,47.516,24.654,25.357,24.793,13.462,8.8795
578.66,220.05,197.84,79.788,84.238,35.321,40.938,41.95,49.327,51.655,27.279,28.481,28.583,15.959,11.998
591.77,225.59,204.73,83.338,89.697,37.699,44.198,47.175,53.991,51.769,31.034,32.456,32.719,20.354,16.428
